"","song_id","title","release","artist_name","year"
"76696","SOBOUPA12A6D4F81F1","Sincerité Et Jalousie","Simple Et Funky","Alliance Ethnik",0
"76697","SOBYZRW12A58A7ABF1","Head Over Heels","Gold","Tears For Fears",1984
"76698","SOCHBAR12AB0187BA9","Into The Groove","Celebration","Madonna",1985
"76699","SOCYBFA12A8C13202B","Not An Addict","Paradise In Me","K's Choice",1995
"76700","SODFCYY12A58A78381","Ella Me Levanto","El Cartel: The Big Boss","Daddy Yankee",2007
"76701","SOEITPB12A8C133BA8","Arroyito","Gratitud","Fonseca",2008
"76702","SOEKKIV12A6701D247","All For Love","The Best Of Me","Bryan Adams / Sting / Rod Stewart",1996
"76703","SOFETST12AB018759C","Ember Drive","Redemption","Walls Of Jericho",2008
"76704","SOHSTLE12A8C132425","Something In The Way She Moves","James Taylor Live","James Taylor",0
"76705","SOIQFOL12A81C1FCFF","Dejame Entrar","Dejame Entrar","Carlos Vives",0
"76706","SOKDDXH12A8C1409E5","Son Of Dragon","Son Of Dragon","Liquid People",2006
"76707","SOLFXKT12AB017E3E0","Fireflies","Karaoke Monthly Vol. 2 (January 2010)","Charttraxx Karaoke",2009
"76708","SOLJVRA12A8AE459E5","Shout","Songs From The Big Chair - Deluxe Edition","Tears For Fears",1984
"76709","SONHVVE12AB018D038","Sexy Bitch","Club Traxxx Summer Slammin'_ Vol. 3","DJ Dizzy",2009
"76710","SOPFUEQ12A8C13BDD4","Sowing The Seeds Of Love","Gold","Tears For Fears",1989
"76711","SOPQBHI12A58A777F6","Te Mando Flores","Gratitud","Fonseca",2006
"76712","SOPXKYD12A6D4FA876","Yellow","Yellow","Coldplay",2000
"76713","SOPXKYD12A6D4FA876","Yellow","Deejay 25","Coldplay",2000
"76714","SOQIQZU12A6D4FB8B5","Plug In Baby","Plug In Baby","Muse",0
"76715","SOUBZPQ12A8C13629D","My Heart Will Go On","100 Movie Hits","Céline Dion",1997
"76716","SOUKJBT12A6701C4D6","Speed Of Sound","Speed Of Sound","Coldplay",2005
"76717","SOVHFMK12A679AE565","Heaven","So Far So Good","Bryan Adams",1984
"76718","SOWEJXA12A6701C574","Fix You","X & Y","Coldplay",2005
"76719","SOXFPND12AB017C9D1","I Gotta Feeling","Todo Éxitos 2009","Black Eyed Peas",2009
"76720","SOXTGXZ12A6D4F9795","Eyes Without A Face","Essential","Billy Idol",1983
"76721","SOYHYDT12A8AE495F8","Kiss Kiss","Exclusive","Chris Brown featuring T-Pain",0
"80916","SOAEYBP12AB0184573","Highway 20 Ride (Album)","The Foundation","Zac Brown Band",2007
"80917","SOBOAFP12A8C131F36","Lucky (Album Version)","We Sing.  We Dance.  We Steal Things.","Jason Mraz & Colbie Caillat",0
"80918","SODPUCX12A8C136EAC","That's my DJ","Night Ripper","Girl Talk",0
"80919","SOHIEDO12AB018C687","The Sound of Settling (Album Version)","iTunes Originals","Death Cab for Cutie",2005
"80920","SOJSAWE12A58A7F76E","Fly (Remastered LP Version)","The Best Of Sugar Ray","Sugar Ray feat. Super Cat",2005
"80921","SOKHHXJ12AF72A5325","People Watching","Sing-A-Longs & Lullabies For The Film Curious George","Jack Johnson",2006
"80922","SOMVGJL12AC3DF6F61","Bodies Hit The Floor","Unstoppable","Girl Talk",0
"80923","SONHBWX12A8C136EB6","Summer Smoke","Night Ripper","Girl Talk",0
"80924","SONMVKD12A6D4F6D10","Hands Held High (Album Version)","Minutes To Midnight","Linkin Park",2007
"80925","SOOSFVL12AB018253F","That's How Country Boys Roll","Little Bit Of Everything","Billy Currington",2008
"80926","SOQDJPZ12AB017A896","People Are Crazy","Little Bit of Everything","Billy Curringham",2008
"80927","SORTDSD12A6D4F798B","Transatlanticism","Six Feet Under - Everything Ends","Death Cab for Cutie",2003
"80928","SOSZJFV12AB01878CB","Teach Me How To Dougie","Teach Me How To Dougie","California Swag District",0
"80929","SOTVJEN12A8C13B064","The Remedy (I Won't Worry) (New EQ'd LP Version)","The Remedy [I Won't Worry]","Jason Mraz",0
"80930","SOUVGJL12AB017FC35","Our Song","Taylor Swift","Taylor Swift",2006
"80931","SOUVGVC12A58A79ED8","Waitin' On A Woman","Play","Brad Paisley With Andy Griffith",2005
"80932","SOVGLTY12AF72A39CD","Better Together","In Between Dreams","Jack Johnson",2005
"80933","SOWRERA12A8C136EAE","Hold up","Night Ripper","Girl Talk",0
"80934","SOYXXHN12A8C136EBB","Ask about me","Night Ripper","Girl Talk",0
"91832","SOAJVOL12AAF3B25E6","Condemn Me Society (Katadikase me koinonia)","Songs About Prison Recordings 1932 - 1955","Stelios Kazantzides",0
"91833","SOBABSR12A58A7AD93","The Saltwater Room","Ocean Eyes","Owl City",2008
"91834","SODJKMC12A8C137EC0","What You Thought You Need","Sleep Through The Static","Jack Johnson",2008
"91835","SODRJZO12AC4684FF6","Angel / Better Together","En Concert","Jack Johnson",2009
"91836","SOERYLG12A6701F07F","Times Like These","On And On","Jack Johnson",2003
"91837","SOFQCFJ12AB01816E8","I'll Meet You There","Maybe I'm Dreaming","Owl City",2008
"91838","SOFSWLA12A8C13B231","A Girl Like You","Smithereens 11","The Smithereens",1989
"91839","SOGCDYR12AC961854A","You And Your Heart","You And Your Heart","Jack Johnson",2010
"91840","SOGTQNI12AB0184A5C","Vanilla Twilight","Ocean Eyes","Owl City",2009
"91841","SOGVQBT12AB018D669","Bubble Toes / Express Yourself","En Concert","Jack Johnson",2009
"91842","SOJJKTR12A6701F083","Gone","On And On","Jack Johnson",2003
"91843","SOLFXKT12AB017E3E0","Fireflies","Karaoke Monthly Vol. 2 (January 2010)","Charttraxx Karaoke",2009
"91844","SONQBUB12A6D4F8ED0","Angie (1993 Digital Remaster)","Jump Back - The Best Of The Rolling Stones_ '71-'93","The Rolling Stones",0
"91845","SONQBUB12A6D4F8ED0","Angie","Jump Back - The Best Of The Rolling Stones_ '71 - '93","The Rolling Stones",1973
"91846","SOPCVQE12AC468AF36","Country Road","En Concert","Jack Johnson / Paula Fuga",2009
"91847","SOQHKMJ12A6D4F715E","Gut Feeling","Q: Are We Not Men?  A: We Are Devo / Devo Live","Devo",1978
"91848","SOQLHST12AB0184A27","Meteor Shower","Ocean Eyes","Owl City",2009
"91849","SOSPXWA12AB0181875","Bubble Toes","Brushfire Fairytales","Jack Johnson",2000
"91850","SOSPXWA12AB0181875","Bubble Toes","Brushfire Fairytales","Jack Johnson",2000
"91851","SOTRBHF12A8C142F20","I'm Crying","The Best of Setco Vol. 46","The Animals",1964
"91852","SOUMOMJ12A6701DFDC","The News","Brushfire Fairytales","Jack Johnson",2000
"91853","SOVRBAR12A6D4F7006","Heavy  (LP Version)","Rhino Hi-Five: Collective Soul","Collective Soul",2006
"91854","SOWGXHV12A6D4F7008","Shine (LP Version)","Rhino Hi-Five: Collective Soul","Collective Soul",2006
"91855","SOYIGCO12AB01816DD","Dear Vienna","Maybe I'm Dreaming","Owl City",2008
"91856","SOYIJIL12A6701F1C1","Posters","Brushfire Fairytales","Jack Johnson",2000
"91857","SOZRNFS12AF72A3EB5","Razor","In Your Honor","Foo Fighters",2005
"91858","SOZRNFS12AF72A3EB5","Razor","Catch And Release","Foo Fighters",2005
"108458","SOAATHE12A8C13ADD6","Radio","Maybe I'll Catch Fire","Alkaline Trio",2000
"108459","SOAEPVF12A8C13722D","Toxic","Yael Naïm","Yael Naïm",2007
"108460","SOARUPP12AB01842E0","Up Up & Away","Man On The Moon: The End Of Day","Kid Cudi",2009
"108461","SOAXGDH12A8C13F8A1","Dog Days Are Over (Radio Edit)","Now That's What I Call Music! 75","Florence + The Machine",0
"108462","SOCJWZY12A67021D18","Hallelujah","The L Word","Rufus Wainwright",2001
"108463","SOCNPTC12A8C144911","I'm On Fire","Greatest Hits","Bruce Springsteen",1984
"108464","SODUGQV12AF72A6803","(You Drive Me) Crazy (The Stop Remix!)","The Singles Collection","Britney Spears",1999
"108465","SOEGIYH12A6D4FC0E3","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","Mozart - Eine kleine Nachtmusik","Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner",0
"108466","SOFAFXU12A8C141523","Society","Music For The Motion Picture Into The Wild","Eddie Vedder",2007
"108467","SOFEVTB12A8C14075F","Are You Hurting The One You Love?","Rabbit Heart EP","Florence + The Machine",2009
"108468","SOFRQTD12A81C233C0","Sehr kosmisch","Musik von Harmonia","Harmonia",0
"108469","SOHFJAQ12AB017E4AF","West One (Shine On Me)","The Crack/Grin And Bear It","The Ruts",1980
"108470","SOHFNKO12AB017C772","Kiss With A Fist","Wild Child OST","Florence + The Machine",2009
"108471","SOHRQFL12A6D4F3C8A","Terre Promise","77 Souter'1 Vol.2","O'Rosko Raricim",0
"108472","SOIHGNU12A58A7AFD7","Tequila","25 Rock 'n' Roll Worldwide Number Ones","The Champs",1958
"108473","SOILFUU12AB017C75F","I'm Not Calling You A Liar","Lungs","Florence + The Machine",2009
"108474","SOJGZXL12A6D4F2980","Dollhouse","Serpentine Gallery - Deluxe 2005 Edition","Switchblade Symphony",1995
"108475","SOJTLHS12A8C13F633","Ain't No Rest For The Wicked (Original Version)","Cage The Elephant","Cage The Elephant",2008
"108476","SOKUPAO12AB018D576","The Only Exception (Album Version)","The Only Exception","Paramore",0
"108477","SOKVZHI12A58A7A13E","Everywhere I Go","Swan Songs","Hollywood Undead",2008
"108478","SOMDLES12A58A783A9","Wake Up Little Suzie","Real Gone Rock'n Roll 4","The Everly Brothers",1983
"108479","SOMTXSB12AF72ACC38","Oops!...I Did It Again","The Singles Collection","Britney Spears",2000
"108480","SONIQRE12AF72A2B02","Bring Me To Life","Fallen","Evanescence",2003
"108481","SONIQRE12AF72A2B02","Bring Me To Life","Fallen","Evanescence",2003
"108482","SONTIBS12A6D4F9CFE","I Still Haven't Found What I'm Looking For","The Joshua Tree","U2",1987
"108483","SONUEHX12AB017DB2C","Dog Days Are Over (Demo)","Lungs","Florence + The Machine",2009
"108484","SONYKOW12AB01849C9","Secrets","Waking Up","OneRepublic",2009
"108485","SOOFYTN12A6D4F9B35","Représente","Fat Come Back","Alliance Ethnik",1999
"108486","SOOVTGJ12A8C13FD10","Caroline","Caroline - EP","Old Crow Medicine Show",2008
"108487","SOOWVNN12A8C140775","Rabbit Heart (Raise It Up)","Rabbit Heart EP","Florence + The Machine",2009
"108488","SOPAYPV12AB017DB0C","You've Got The Love","Lungs","Florence + The Machine",2009
"108489","SOPJXQA12A6701D925","All Falls Down","The College Dropout","Kanye West / Syleena Johnson",2005
"108490","SORAGYH12AAA15FD76","La Bamba","La Bamba / Charlena [Digital 45]","Los Lobos",1987
"108491","SORNWVM12AF72A14ED","Better Man","rearviewmirror (greatest hits 1991-2003)","Pearl Jam",1994
"108492","SOSJUVL12A6D4F86EF","Here I Am To Worship (Here I Am To Worship Album Version)","The Ultimate Collection - Worship","Tim Hughes",0
"108493","SOSZJFV12AB01878CB","Teach Me How To Dougie","Teach Me How To Dougie","California Swag District",0
"108494","SOTEGWG12AB01897AC","Forever","Relapse: Refill","Drake / Kanye West / Lil Wayne / Eminem",0
"108495","SOTWCDE12AB018909C","BedRock (Radio Edit) (feat.Lloyd)","Now That's What I Call Music! 75","Young Money featuring Lloyd",0
"108496","SOTWSXL12A8C143349","Love Story","Het Beste Uit De Top 40 - 2009","Taylor Swift",2008
"108497","SOTWSXL12A8C143349","Love Story","Fearless","Taylor Swift",2008
"108498","SOUCBEB12A6310E1F9","Jesus Walks","Jesus Walks","Kanye West",2003
"108499","SOUIYDY12A8C141517","Hard Sun","Music For The Motion Picture Into The Wild","Eddie Vedder",2007
"108500","SOUSZSW12AB01800C2","Toxic","The Singles Collection","Britney Spears",2003
"108501","SOUVTSM12AC468F6A7","Drop The World","Drop The World","Lil Wayne / Eminem",0
"108502","SOVYLLS12A8C141AE3","Bottle Pop","Doll Domination","The Pussycat Dolls / Snoop Dogg",2009
"108503","SOYELXR12A8C14153A","Guaranteed","Music For The Motion Picture Into The Wild","Eddie Vedder",2007
"108504","SOZCDWG12A6D4F81E1","A Beggar On A Beach Of Gold","Beggar On A Beach Of Gold","Mike And The Mechanics",1995
"108505","SOZVCRW12A67ADA0B7","When You Were Young","When You  Were Young","The Killers",2006
"113309","SOAFTRR12AF72A8D4D","Harder Better Faster Stronger","Discovery","Daft Punk",2007
"113310","SOAKMDU12A8C1346A9","Such Great Heights","Grey's Anatomy Original Soundtrack","The Postal Service",2003
"113311","SODGVGW12AC9075A8D","Somebody To Love","My Worlds","Justin Bieber",2010
"113312","SODGVGW12AC9075A8D","Somebody To Love","My World 2.0","Justin Bieber",2010
"113313","SODLLYS12A8C13A96B","Breakeven","Now That's What I Call Music! 72","The Script",2008
"113314","SOEGIYH12A6D4FC0E3","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","Mozart - Eine kleine Nachtmusik","Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner",0
"113315","SOFKSOJ12A67020919","Lean Back [Remix feat. Lil Jon_ Eminem_ Mase & Remy Martin] (Album Version - Amended)","All Or Nothing","Fat Joe",2005
"113316","SOGEKGR12A6D4F81E8","Missing You","Love To Love","John Waite",1984
"113317","SOIZLKI12A6D4F7B61","Supermassive Black Hole (Twilight Soundtrack Version)","Music From The Original Motion Picture Soundtrack","Muse",0
"113318","SOIZLKI12A6D4F7B61","Supermassive Black Hole (Album Version)","Supermassive Black Hole","Muse",0
"113319","SOLGLUC12AB018A8FA","Frisch und g'sund","Musik mit Herz und Schwung","Die Mooskirchner",0
"113320","SOLZOBD12AB0185720","Hey Daddy (Daddy's Home)","Raymond v Raymond","Usher",2010
"113321","SOLZOBD12AB0185720","Hey Daddy (Daddy's Home)","Raymond v Raymond","Usher",2010
"113322","SOMGVYU12A8C1314FF","Sinisten tähtien alla","Tatsum Tisal","J. Karjalainen & Mustat Lasit",0
"113323","SOMLYJD12A58A7B155","I Wanna Be Sedated (Remastered Album Version )","Loud_ Fast_ Ramones:  Their Toughest Hits","Ramones",0
"113324","SOMYXWV12A8C14232E","What Goes Around...Comes Around","What Goes Around... Comes Around","Justin Timberlake",2007
"113325","SOOLYZQ12A6D4FA5B7","Face Down (Album Version)","Don't You Fake It","The Red Jumpsuit Apparatus",2008
"113326","SOPQLBY12A6310E992","Creep (Explicit)","Pablo Honey","Radiohead",1993
"113327","SORNKQU12A6D4FCDC0","Ride For You (Album Version)","Danity Kane","Danity Kane",2006
"113328","SOSLQQJ12AB017BDCC","Sleepyhead","Manners","Passion Pit",2008
"113329","SOVDSJC12A58A7A271","Ain't Misbehavin","Summertime","Sam Cooke",0
"113330","SOYGKNI12AB0187E6E","All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross)","Victory","DJ Khaled",2010
"113331","SOYMXMF12A6D4FCDA2","One Shot (Album Version)","Danity Kane","Danity Kane",2006
"116305","SOCEGXN12AB018174F","What Them Girls Like","Theater Of The Mind","Ludacris / Chris Brown / Sean Garrett",2008
"116306","SODQGBE12A6D4F6BAB","You Can Do It (Explicit) (Feat. Mack 10 And Ms Toi)","Ice Cube's Greatest Hits (Explicit)","Ice Cube Featuring Mack 10 And Ms Toi",0
"116307","SOJSKRC12A6D4F7A12","Girls Dem Sugar","From Kingston To King of the Dancehall: A Collection of Dancehall Favorites","Beenie Man",1996
"116308","SOJWFSS12A8C1365FA","Before I Let You Go","No Diggity: The Very Best Of Blackstreet","Blackstreet",1994
"116309","SORENUH12AB0180C8D","No Love","Alternately Deep","Roots Manuva",2005
"116310","SOUCBEB12A6310E1F9","Jesus Walks","Jesus Walks","Kanye West",2003
"120170","SOAHEEC12A6BD4DAA4","Cancer","Dressed Up As Life","Sick Puppies",2007
"120171","SOALEQA12A58A77839","Jumping Jack Flash","Shine A Light","The Rolling Stones",1982
"120172","SOCKYBP12A8AE48678","Suspicious Minds","Discover Elvis Presley","Elvis Presley",1969
"120173","SODBVGT12A8C139FB9","Fui Eu","O Passo Do Lui","Os Paralamas Do Sucesso",1984
"120174","SODJANU12AB0188D30","Jazz Street","Jazz Street","Jaco Pastorius_ Brian Melvin",0
"120175","SODMGHY12A8C13E74B","Giocoso gioioso","Ennio morricone in lounge","Ennio Morricone",0
"120176","SOECFYD12A81C203CE","Mother In-Law","Welcome To New Orleans","Ernie K-Doe",0
"120177","SOEVXFV12A8C131196","More Than Meets The Eye","Out Of This World","Europe",1988
"120178","SOEYEOG12A6D4FD103","Before You Accuse Me (Album Version)","Journeyman","Eric Clapton",1989
"120179","SOGCYLZ12AF72A72B6","Runaway (Original)","Runaway","iio",2004
"120180","SOGUFSP12A6702049A","Strani Amori","Laura Pausini","Laura Pausini",1994
"120181","SOHOXQK12A6D4FBF7C","Amerika (Album Version)","Invitation [Live]","Jaco Pastorius Big Band",0
"120182","SOIMRIP12A58A7DE64","O Tempo Não Pára","O Tempo Nao Pára - Cazuza Ao Vivo","Cazuza",1988
"120183","SOKHPOV12A8C13D641","Almost Grown","Reelin' And Rockin' - The Very Best Of","Chuck Berry",1959
"120184","SOLLGNU12AF72A4D4F","The Old Saloon","Incredibad","The Lonely Island",2009
"120185","SOLPFNY12A8C134C25","Roll Over Beethoven","All The '50s Hits Vol. 1","Chuck Berry",1956
"120186","SOMHQEB12AB017F309","Radar Love","Best Rock Anthems.....Ever!","Golden Earring",1973
"120187","SOMQWBH12A8AE44A40","Before I Forget (Album Version)","Vol. 3 The Subliminal Verses","Slipknot",0
"120188","SOMSKVI12AB018E002","Third Party","Moving On","Unter Null",2010
"120189","SONQBBD12A8AE47D66","Miss You","R&B Collection","Aaliyah",2002
"120190","SONQBUB12A6D4F8ED0","Angie (1993 Digital Remaster)","Jump Back - The Best Of The Rolling Stones_ '71-'93","The Rolling Stones",0
"120191","SONQBUB12A6D4F8ED0","Angie","Jump Back - The Best Of The Rolling Stones_ '71 - '93","The Rolling Stones",1973
"120192","SONUOOC12A8C136211","Heartbeat","No Longer At Ease","Nneka",2008
"120193","SOORQUQ12A6D4FAB05","Pull","Nico","Blind Melon",1996
"120194","SOPQDHP12A8C1346E2","Hei okei mä meen","Karkuteillä","Karkkiautomaatti",1995
"120195","SOQCVNS12AF72A8286","The Passenger","Art Brut vs Satan","Art Brut",2009
"120196","SOQVHQN12AB018D97D","Wider Than a Smile","Is There Nothing We Could Do ? (Music Inspired By the Motion Picture: The Fattest Man In Britain)","Badly Drawn Boy",2009
"120197","SOTJCZJ12A58A7E54B","Yankee Rose (Spanish Album Version)","Sonrisa Salvaje","David Lee Roth",1986
"120198","SOWCLBP12A58A7937F","My Father's Eyes","Complete Clapton","Eric Clapton",1998
"120199","SOXXVSU12A8C133445","Velouria","Bossanova","Pixies",1990
"122802","SOAJYLI12AB01831B8","Dirty Dishes","War Elephant","Deer Tick",2006
"122803","SODABFB12A58A81788","I'm So Excited","Fire! The Very Best of The Pointer Sisters","The Pointer Sisters",1982
"122804","SODACAF12A8C141FEC","I Come In Please","Up From Below","Edward Sharpe & The Magnetic Zeros",2009
"122805","SODLHCF12A8C13C2DA","She Had The World (Album Version)","Pretty. Odd.","Panic At The Disco",2008
"122806","SOFOGFW12AB0182251","These Old Shoes","War Elephant","Deer Tick",2007
"122807","SOFOKPG12A58A7E768","January Wedding","I And Love And You","The Avett Brothers",2009
"122808","SOFVGPP12A8C141FA6","Up From Below","Up From Below","Edward Sharpe & The Magnetic Zeros",2009
"122809","SOHZGIA12A8C141FE8","Black Water","Up From Below","Edward Sharpe & The Magnetic Zeros",2009
"122810","SOIWPAX12AB0181918","The Hazards Of Love 4 (The Drowned)","The Hazards Of Love","The Decemberists",2009
"122811","SOJNNJQ12AB018697A","Head Full Of Doubt/Road Full Of Promise","I And Love And You","The Avett Brothers",2009
"122812","SOJOYQG12A8C1443B1","When A Man Loves A Woman","100 Timeless Love Songs","Percy Sledge",1966
"122813","SOLEWHB12AB01831B3","Art Isn't Real (City Of Sin)","War Elephant","Deer Tick",2007
"122814","SOLQPSI12AB018223F","Baltimore Blues No. 1","War Elephant","Deer Tick",2007
"122815","SOLVNYY12AB0181D2E","I And Love And You","I And Love And You","The Avett Brothers",2009
"122816","SOMYUPY12A8C13BD15","The General Specific (Album)","Cease to Begin","Band Of Horses",2007
"122817","SONSYZN12A8C13831C","Lake Michigan","Asleep At Heaven's Gate","Rogue Wave",2007
"122818","SOODGZY12A8C141F44","Simplest Love","Up From Below","Edward Sharpe & The Magnetic Zeros",2009
"122819","SOPAOQL12AB0186984","Incomplete And Insecure","I And Love And You","The Avett Brothers",2009
"122820","SOPQZWR12AB018A761","It Goes On And On","I And Love And You","The Avett Brothers",2009
"122821","SOPREHY12AB01815F9","I'm On A Boat","Incredibad","The Lonely Island / T-Pain",2009
"122822","SOQVUMH12AB018A755","The Perfect Space","I And Love And You","The Avett Brothers",2009
"122823","SORKNEQ12AB0182987","Carries On","Up From Below","Edward Sharpe & The Magnetic Zeros",2009
"122824","SOSDYJH12AF72A179D","Laundry Room","I And Love And You","The Avett Brothers",2009
"122825","SOTASOO12AB018697C","And It Spread","I And Love And You","The Avett Brothers",2009
"122826","SOTVLQY12A58A798C2","Home","Up From Below","Edward Sharpe & The Magnetic Zeros",2009
"122827","SOUDVLR12AB0186980","Slight Figure Of Speech","I And Love And You","The Avett Brothers",2009
"122828","SOYDKBT12AB017BD24","Let Me Go","Prolonging the Magic","Cake",1998
"122829","SOYGQGR12AF72ABAB8","Janglin","Up From Below","Edward Sharpe & The Magnetic Zeros",2009
"122830","SOYIQBM12AB01800F0","My Last Song To Jenny","Live_ Vol. 2","The Avett Brothers",2003
"122831","SOYKJTL12AB018609A","Northern Downpour [Live In Chicago]","Live In Chicago","Panic At The Disco",0
"173217","SODCLQR12A67AE110D","The Way I Are","Shock Value","Timbaland / Keri Hilson / D.O.E.",2007
"173218","SOEWNJA12A67AE110B","Give It To Me","Massive R & B - Spring 2007","Timbaland / Justin Timberlake / Nelly Furtado",2007
"173219","SOHXATM12AB018145D","Andalucia","La Esquina Del Viento / Andalucia","Medina Azahara",0
"173220","SOJZDMW12A8151E092","Somebody (Remix)","Mute Audio Documents: Volume 4: 1984","Depeche Mode",1984
"173221","SOKUTUM12A6701D9CD","Do You Remember","In Between Dreams","Jack Johnson",2005
"173222","SOMAUXP12AB018051D","Flaca","Andres CD1","Andres Calamaro",1997
"173223","SOMORYX12B0B80908A","Wish","Live: And All That Could Have Been","Nine Inch Nails",1992
"173224","SOOXZWB12A6D4F50F4","Put Your Hands Up For Detroit","Creamfields 10 Years","Fedde Le Grand",2006
"173225","SOPTWVT12A8AE48371","Me Arde","Alta Suciedad","Andres Calamaro",1997
"173226","SORWBIZ12A58A7C70A","En La Ciudad De La Furia","Doble Vida","Soda Stereo",1988
"173227","SOSICRL12A6D4F8B39","Selfish Girl","A Girl Like Me","Rihanna",2006
"173228","SOTPDUH12A8C133980","Runaway Train","Grave Dancers Union","Soul Asylum",1992
"173229","SOUHJHQ12A8AE4515B","Get Get Down (Original Mix)","Get Get Down","Paul Johnson",0
"173230","SOVLMUV12AC4686280","Ajde sonce zajde","The Ultimate Collection","Leb I Sol",1981
"185283","SOAUWYT12A81C206F1","Undo","Vespertine Live","Björk",2001
"185284","SODEGIQ12A6D4FC6E3","Sweet And Wild","The World We Live In","Radney Foster",2006
"185285","SOHFJAQ12AB017E4AF","West One (Shine On Me)","The Crack/Grin And Bear It","The Ruts",1980
"185286","SOHQFLV12A6D4F863A","You Could Be Happy","Eyes Open","Snow Patrol",2006
"185287","SOPLVFB12A8C141022","Undantag","Samling","Bo Kaspers Orkester",1998
"185288","SOQBMFK12A8C13835B","Found Home","End Of The Millenium","59 Times the Pain",1999
"185289","SOSJUVL12A6D4F86EF","Here I Am To Worship (Here I Am To Worship Album Version)","The Ultimate Collection - Worship","Tim Hughes",0
"185290","SOUCHPA12AB0184B1A","Rain","Live In A Dive","Subhumans",1983
"185291","SOZBZSY12A6D4FA404","Boys Don't Cry","Starter For 10: Original Motion Picture Soundtrack [International]","The Cure",1979
"199963","SOBAAAB12A6D4F95A5","Rhineland (Heartland)","The Gulag Orkestar","Beirut",2005
"199964","SOBBCWG12AF72AB9CB","Brothers","One Life Stand","Hot Chip",2010
"199965","SOBBKGF12A8C1311EE","Where Is My Mind?","Wave Of Mutilation: Best Of Pixies","Pixies",1988
"199966","SOBGPHU12A8C1424E3","Take It In","One Life Stand","Hot Chip",2009
"199967","SOBIKOJ12A8C14134B","Primer Dia","Realmente Lo Mejor","Julieta Venegas A Dueto Con Dante",0
"199968","SOBJOSC12A8C137A74","Cupid","Valentine's Day OST","Amy Winehouse",2007
"199969","SOBVDHY12A6D4F824E","Teenage Kicks","Uncovered","Nouvelle Vague",0
"199970","SOBVKFF12A8C137A79","Monkey Man","You Know I'm No Good","Amy Winehouse",2007
"199971","SOBVXBI12A8C13344D","Is She Weird","Bossanova","Pixies",1990
"199972","SOCBNIS12AF72AB9D3","We Have Love","One Life Stand","Hot Chip",2010
"199973","SOCBWRP12A8C1311DB","Hey","Wave Of Mutilation: Best Of Pixies","Pixies",1989
"199974","SOCBXKD12A8C145834","Dulce Compañia","Limon Y Sal","Julieta Venegas",0
"199975","SOCKYBP12A8AE48678","Suspicious Minds","Discover Elvis Presley","Elvis Presley",1969
